A6,직선 도로
B16,추돌 사고
C56,선행자동차(1차사고차량)를 추돌
D54,선행자동차(1차사고차량)
C67,후행 추돌
D65,선행 직진
C71,주(정)차
D73,후행 추돌
B17,차로 감소 도로 (합류)
C57,본선에서 직진
D55,차로 감소 도로에서 본선으로 합류
B20,열린 문 접촉 사고
C51,후행 직진
D58,선행자동차(정차중 문열림)
B21,역주행 사고(중앙선 침범)
C13,직진
D59,중앙선 침범 직진
B22,이면도로 교행 사고
C20,(마주보며) 직진
D60,(마주보며) 직진
B23,추월 사고
C60,선행 직진
D61,추월(실선 중앙선)
D63,급접거리 추월(점선 중앙선)
C61,중앙선 침범 추월(후방)
D62,중앙선 침범 추월(전방)
C62,실선 추월
D65,선행 직진
B24,차로변경(진로변경)
C51,후행 직진
D64,선행 진로 변경
C63,동시 차로변경(진로변경)
D66,동시 차로변경(진로변경)
C64,정체차로에서 대기 중 진로변경(측면 충돌)
D67,직진(측면 충돌)
B25,안전지대 통과 사고
C65,후행 직진(안전지대 벗어나기 전)
D68,선행 진로변경
C66,후행 직진(안전지대 벗어난 후)
D68,선행 진로변경
B27,정차 후 출발 사고
C73,정차 후 출발
D75,추월
B31,긴급자동차 사고
C13,직진
D87,중앙선 왼쪽 통행(긴급자동차)
C51,후행 직진
D90,선행 진로변경(긴급자동차)
C60,선행 직진
D89,추월(긴급자동차)
C85,선행 진로변경
D91,후행 직진(긴급자동차)
A2,사거리 교차로(신호등 없음)
B2,동일폭 도로
C6,오른쪽에서 직진
D3,왼쪽에서 직진
C7,오른쪽에서 직진(후진입)
D4,왼쪽에서 직진(선진입)
C8,오른쪽에서 직진(선진입)
D5,왼쪽에서 직진(후진입)
C20,(마주보며) 직진
D17,(마주보며) 좌회전
C23,왼쪽 도로에서 직진
D21,오른쪽 도로에서 좌회전
C24,오른쪽 도로에서 직진
D22,왼쪽 도로에서 좌회전
C32,우회전
D30,직진
C33,우회전(후진입)
D31,직진(선진입)
C34,우회전(선진입)
D32,직진(후진입)
C45,오른쪽 도로에서 좌회전
D22,왼쪽 도로에서 좌회전
B3,대로와 소로
C9,대로에서 직진
D6,소로에서 직진
D23,소로에서 좌회전
C10,대로에서 직진(후진입)
D7,소로에서 직진(선진입)
C11,대로에서 직진(선진입)
D8,소로에서 직진(후진입)
C25,소로에서 직진《좌측도로》
D24,대로에서 좌회전《우측도로》
C26,소로에서 직진《우측도로》
D25,대로에서 좌회전《좌측도로》
C35,소로에서 우회전
D33,대로에서 직진
C36,소로에서 우회전(후진입)
D34,대로에서 직진(선진입)
C37,소로에서 우회전(선진입)
D35,대로에서 직진(후진입)
C38,대로에서 우회전
D6,소로에서 직진
C39,대로에서 우회전(후진입)
D7,소로에서 직진(선진입)
C40,대로에서 우회전(선진입)
D8,소로에서 직진(후진입)
C46,소로에서 좌회전
D39,대로에서 좌회전
