A2,횡단보도(신호등 없음)
B3,직선 도로
C9,횡단보도 횡단
D11,직진
D22,이륜차 횡단보도 횡단
A1,횡단보도(신호등 있음)
B1,자동차 교차로 통과 후
C1,"[적색신호] 횡단 시작, [적색신호] 충격"
D1,[녹색 좌회전 신호] 좌회전
D2,[녹색 직진 신호] 직진
D3,[녹색 우회전 신호] 우회전
D4,[황색신호] 좌회전
D5,[황색신호] 직진
D6,[황색 우회전 신호] 우회전
D7,[적색신호] 좌회전
D8,[적색신호] 직진
D9,[적색 우회전 신호] 우회전
C2,"[적색신호] 횡단 시작, 녹색(녹색점멸 포함)신호 충격"
D4,[황색신호] 좌회전
D5,[황색신호] 직진
C3,"[녹색신호] 횡단 시작, 녹색(녹색점멸 포함)신호 충격"
D4,[황색신호] 좌회전
D5,[황색신호] 직진
D7,[적색신호] 좌회전
D8,[적색신호] 직진
D9,[적색 우회전 신호] 우회전
C4,"녹색(녹색점멸)신호에 횡단 시작, [적색신호] 충격"
D7,[적색신호] 좌회전
D8,[적색신호] 직진
D9,[적색 우회전 신호] 우회전
B2,자동차 교차로 통과 전
C1,"[적색신호] 횡단 시작, [적색신호] 충격"
D10,[녹색신호] 직진
C3,"[녹색신호] 횡단 시작, 녹색(녹색점멸 포함)신호 충격"
D8,[적색신호] 직진
C5,"[적색신호] 횡단 시작, [녹색신호] 충격"
D8,[적색신호] 직진
C6,"[녹색신호] 횡단 시작, [적색신호] 충격"
D10,[녹색신호] 직진
C7,"[녹색점멸신호] 횡단 시작, [적색신호] 충격"
D10,[녹색신호] 직진
C8,"[녹색점멸신호] 횡단 시작, [녹색점멸신호] 충격"
D8,[적색신호] 직진
A6,횡단보도 없음
B7,교차로(대로와 소로)
C14,소로 횡단
D15,소로 주행《좌(우)회전 동일》
C16,대로 횡단
D17,대로 주행《좌(우)회전 동일》
B8,교차로(동일폭 도로)
C15,횡단
D16,교차로 주행《좌(우)회전 동일》
B9,단일로(중앙선 없음)
C15,횡단
D11,직진
B10,보도와 차도
C17,보도 보행
D18,보도 침범
C18,차도 보행(인도에서 공사 또는 퇴적토 등)
D19,차도 주행
C19,차도 보행(이유없이 보·차도 경계 1m이내)
D19,차도 주행
C20,차도 보행(이유없이 보·차도 경계 1m이상)
D19,차도 주행
C24,차도에서 놀이·누워있음 또는 유사한 행위
D19,차도 주행
B11,보도와 차도(구분 없음)
C21,차도의 가장자리로 보행
D19,차도 주행
C22,차도의 중앙부분 보행
D19,차도 주행
B12,보행자 전용도로
C23,보행자 전용도로에서 보행
D20,보행자 전용도로로 주행
B13,차도가 아닌 장소
C15,횡단
D11,직진
C25,후진하는 차 뒷부분의 3m이내 거리에서 횡단
D21,후진
C26,후진하는 차 뒷부분의 3m이상 거리에서 횡단
D21,후진
A4,횡단보도(신호등 없음) 부근
B3,직선 도로
C12,횡단보도 10m 이내에서 횡단
D11,직진
A3,횡단보도(신호등 있음) 부근
B4,자동차 횡단보도 통과 후
C10,[녹색신호] 횡단보도 10m 이내에서 횡단
D9,[적색 우회전 신호] 우회전
D12,[적색신호] 직진 또는 좌회전
D13,[황색신호] 직진 또는 좌회전
C11,[적색신호] 횡단보도 10m 이내에서 횡단
D3,[녹색 우회전 신호] 우회전
D9,[적색 우회전 신호] 우회전
D12,[적색신호] 직진 또는 좌회전
D13,[황색신호] 직진 또는 좌회전
D14,[녹색신호] 직진 또는 [녹색 좌회전 신호] 좌회전
B6,자동차 횡단보도 통과 전
C10,[녹색신호] 횡단보도 10m 이내에서 횡단
D11,직진
C11,[적색신호] 횡단보도 10m 이내에서 횡단
D11,직진
A5,육교 및 지하도 부근
B3,직선 도로
C13,육교 및 지하도 10m 이내에서 횡단
D11,직진
