id,car_name,Breakage_3,Crushed_2,Scratch_0,Seperated_1,repair_cost
sc-216666,올뉴모닝,0,1972,3771,0,83750
as-0056675,올뉴투싼,0,0,552,0,84320
sc-172370,아반떼AD,0,0,0,0,89280
sc-172370,아반떼AD,0,0,0,2278,89280
sc-172370,아반떼AD,9790,5,2689,3133,89280
sc-172370,아반떼AD,10893,0,3174,1446,89280
sc-172370,아반떼AD,0,0,6393,4768,89280
sc-172370,아반떼AD,0,0,0,474,89280
as-0097459,쏘나타,0,0,0,0,166080
as-0097459,쏘나타,0,442,122,0,166080
as-0097459,쏘나타,0,0,3298,17,166080
as-0097459,쏘나타,0,0,98,293,166080
as-0019452,레이,2583,2626,45,0,90290
as-0019452,레이,6894,2219,78,1693,90290
as-0019452,레이,3232,0,154,642,90290
as-0019452,레이,1,0,25,2,90290
sc-161196,레이,0,3504,3419,0,148500
sc-161196,레이,0,0,2317,913,148500
sc-161196,레이,0,339,4379,53,148500
sc-161196,레이,1663,856,817,767,148500
sc-161196,레이,454,0,757,1900,148500
sc-161196,레이,0,0,12220,844,148500
sc-161196,레이,0,0,4683,1169,148500
as-0013080,LF 쏘나타 뉴라이즈,0,0,382,0,215140
as-0013080,LF 쏘나타 뉴라이즈,35,0,766,0,215140
as-0013080,LF 쏘나타 뉴라이즈,0,4512,1008,227,215140
as-0013080,LF 쏘나타 뉴라이즈,0,3360,1018,0,215140
as-0013080,LF 쏘나타 뉴라이즈,0,656,1161,0,215140
as-0013080,LF 쏘나타 뉴라이즈,0,4838,705,137,215140
as-0013080,LF 쏘나타 뉴라이즈,0,1684,1275,604,215140
as-0013080,LF 쏘나타 뉴라이즈,0,0,3022,1165,215140
as-0013080,LF 쏘나타 뉴라이즈,163,190,2221,1535,215140
as-0013080,LF 쏘나타 뉴라이즈,0,0,1469,0,215140
as-0013080,LF 쏘나타 뉴라이즈,0,0,0,0,215140
sc-219787,아반떼AD,0,0,624,0,69090
sc-219787,아반떼AD,0,0,0,606,69090
sc-1030902,셀토스,0,0,6261,0,155000
sc-1030902,셀토스,0,0,609,42,155000
as-0000807,K3,23,0,0,274,123660
sc-151875,코나,0,0,1318,1245,59250
sc-151875,코나,0,0,230,3045,59250
sc-151875,코나,193,0,49,1144,59250
sc-151875,코나,0,0,3805,0,59250
sc-151875,코나,0,0,65,0,59250
sc-151875,코나,0,0,4173,605,59250
sc-1016078,올뉴모닝,57,473,193,4300,89700
sc-212359,올뉴투싼,0,412,2166,0,149750
sc-212359,올뉴투싼,0,0,3317,0,149750
sc-212359,올뉴투싼,0,0,3900,0,149750
sc-212359,올뉴투싼,0,0,147,0,149750
as-0011031,뉴아우디 A6,0,0,5823,0,475250
as-0057073,i30 ,1719,0,2518,0,151380
as-0057073,i30 ,0,0,5,377,151380
sc-137366,올뉴투싼,0,0,0,8,35460
sc-137366,올뉴투싼,0,199,2017,52,35460
sc-137366,올뉴투싼,0,434,1922,220,35460
sc-137366,올뉴투싼,0,2146,5633,2616,35460
sc-198630,K3,0,0,1093,1486,144670
sc-198630,K3,0,0,64,0,144670
sc-202690,레이,272,0,9,0,81420
sc-202690,레이,0,0,0,366,81420
sc-202690,레이,0,415,0,1375,81420
sc-202690,레이,0,0,493,1202,81420
sc-197213,올뉴투싼,0,584,5062,107,224400
sc-197213,올뉴투싼,0,0,2023,0,224400
sc-197213,올뉴투싼,28,0,3615,735,224400
sc-197213,올뉴투싼,0,0,7379,0,224400
sc-197213,올뉴투싼,0,0,756,0,224400
sc-197213,올뉴투싼,0,0,6130,0,224400
sc-197213,올뉴투싼,0,0,1510,2969,224400
sc-197213,올뉴투싼,93,0,513,1030,224400
sc-197213,올뉴투싼,0,0,16474,125,224400
sc-197213,올뉴투싼,12,0,9572,0,224400
sc-197213,올뉴투싼,206,405,352,56,224400
sc-197213,올뉴투싼,0,0,7857,0,224400
sc-197213,올뉴투싼,0,0,92,0,224400
sc-197213,올뉴투싼,0,272,501,1845,224400
sc-197213,올뉴투싼,0,0,3445,708,224400
sc-197213,올뉴투싼,0,0,7632,0,224400
sc-197213,올뉴투싼,0,0,3818,0,224400
sc-197213,올뉴투싼,0,1437,7763,175,224400
sc-197213,올뉴투싼,0,0,1520,2,224400
as-0030019,스토닉,0,2352,0,2740,87540
as-0030019,스토닉,0,0,0,0,87540
as-0030019,스토닉,0,4573,175,0,87540
as-0030019,스토닉,0,1750,0,0,87540
sc-181369,아반떼AD,0,0,305,468,137310
sc-224671,코나,0,46,668,288,56400
sc-224671,코나,0,2508,0,367,56400
sc-1032349,아반떼AD,0,3475,1504,431,134140
sc-1032349,아반떼AD,1546,720,5184,577,134140
as-0034403,G80,0,0,135,378,240400
as-0034403,G80,0,13,50,193,240400
sc-172934,올뉴모닝,0,0,2845,16,98210
sc-1024830,아반떼AD,0,633,1009,0,81250
sc-1024830,아반떼AD,0,0,8043,5680,81250
sc-1024830,아반떼AD,0,0,122,0,81250
sc-1024830,아반떼AD,0,0,1326,0,81250
as-0024850,아반떼AD,950,0,1078,0,105390
sc-186701,K3,0,7974,5377,0,155280
sc-186701,K3,0,0,89,0,155280
as-0045949,싼타페DM,7,889,14388,384,160610
as-0045949,싼타페DM,0,0,96,0,160610
sc-1023162,아반떼,0,862,1090,0,129960
sc-137442,레이,107,0,8,0,98640
sc-137442,레이,0,0,3935,0,98640
sc-137442,레이,0,0,0,0,98640
sc-222428,아반떼AD,0,0,405,0,137280
sc-222428,아반떼AD,0,161,5144,0,137280
sc-222428,아반떼AD,0,56,598,0,137280
sc-222428,아반떼AD,3,913,2220,0,137280
sc-222428,아반떼AD,0,0,285,0,137280
sc-222428,아반떼AD,0,0,361,524,137280
sc-222428,아반떼AD,0,1266,3095,359,137280
sc-222428,아반떼AD,0,0,0,500,137280
sc-222428,아반떼AD,0,0,2781,0,137280
as-0056387,올뉴쏘렌토,4877,0,3097,819,138800
as-0056387,올뉴쏘렌토,6876,0,967,1912,138800
as-0056387,올뉴쏘렌토,658,0,282,0,138800
as-0055510,올 뉴 모닝,0,2084,8,0,84560
as-0055510,올 뉴 모닝,0,2759,0,3,84560
as-0055510,올 뉴 모닝,0,0,222,0,84560
as-0055510,올 뉴 모닝,0,0,0,637,84560
as-0055510,올 뉴 모닝,1437,0,0,1313,84560
as-0055734,LF 쏘나타,0,0,1,0,177120
as-0055734,LF 쏘나타,0,0,0,0,177120
sc-1034359,레이,0,90,3913,0,135000
sc-180892,K3,0,0,507,4224,111500
sc-180892,K3,0,3,273,5252,111500
sc-1000644,아반떼AD,0,428,591,0,76380
sc-1000644,아반떼AD,59,1413,813,1,76380
sc-1000644,아반떼AD,0,0,3952,0,76380
sc-224547,레이,12,11863,646,831,74030
sc-224547,레이,0,255,0,0,74030
sc-224547,레이,0,3869,1528,471,74030
sc-224547,레이,0,5067,582,845,74030
sc-224547,레이,222,0,2074,707,74030
sc-224547,레이,0,622,683,1940,74030
sc-224547,레이,0,110,1884,1753,74030
as-0075680,더넥스트스파크,0,12234,3,153,69690
as-0098014,HG그랜져,0,0,0,0,162640
as-0098014,HG그랜져,0,0,84,0,162640
as-0098014,HG그랜져,0,0,1382,0,162640
as-0098014,HG그랜져,0,747,15885,0,162640
as-0098014,HG그랜져,0,0,7981,0,162640
as-0098014,HG그랜져,205,0,335,0,162640
as-0098014,HG그랜져,0,4641,722,0,162640
as-0098014,HG그랜져,0,0,8217,0,162640
as-0098014,HG그랜져,1331,4917,393,213,162640
as-0031864,K9,624,4950,2516,0,115250
as-0031864,K9,0,4563,1032,1915,115250
as-0031864,K9,0,2598,3229,2148,115250
as-0031864,K9,0,39,2186,233,115250
sc-1027928,셀토스,0,8517,512,1022,56350
sc-1027928,셀토스,58,3789,30,2161,56350
sc-1027928,셀토스,0,9519,803,505,56350
sc-1027928,셀토스,0,2719,1029,3826,56350
as-0003008,K5,457,0,1215,38,133310
as-0048500,G80,0,0,76,420,157140
as-0048500,G80,77,265,5596,914,157140
as-0048500,G80,0,0,72,257,157140
as-0048500,G80,0,341,489,445,157140
as-0048500,G80,0,3062,930,541,157140
as-0048500,G80,2601,0,647,32,157140
as-0048500,G80,0,0,71,777,157140
as-0048500,G80,349,759,5726,86,157140
as-0048500,G80,0,2297,3199,448,157140
as-0047883,YF쏘나타 하이브리드,1474,494,4908,158,245860
as-0047883,YF쏘나타 하이브리드,2194,0,3590,493,245860
