[2026-01-27 19:43:52,643] INFO - ingested: [보도자료] 한국은행, 「중소기업 한시 특별지원」 운용기한 연장
[2026-01-27 19:43:52,923] INFO - ingested: 통화정책방향(2026.1.15)
[2026-01-27 19:43:53,139] INFO - ingested: 금융통화위원회 의사록(2025년 제25차)(2025.12.23)
[2026-01-27 19:43:53,447] INFO - ingested: 금융통화위원회 의사록(2025년 제24차)(2025.12.19)
[2026-01-27 19:43:53,690] INFO - ingested: 금융통화위원회 의사록(2025년 제23차)(2025.12.11)
[2026-01-27 19:43:53,904] INFO - ingested: [보도자료] 2026년 통화신용정책 운영방향
[2026-01-27 19:43:54,137] INFO - ingested: [보도자료] 한시적 외화지준 부리 실시
[2026-01-27 19:43:54,360] INFO - ingested: [보도자료] 한시적 외환건전성부담금 면제 실시
[2026-01-27 19:43:54,604] INFO - ingested: 금융통화위원회 의사록(2025년 제22차)(2025.11.27)
[2026-01-27 19:43:54,814] INFO - ingested: [보도참고자료] 외환당국, 국민연금과 650억달러 한도의 외환스왑 거래를 2026년말까지 연장하기로 합의
[2026-01-27 19:43:55,123] INFO - ingested: [보도자료] 한국은행 통화정책 컨퍼런스 개최
[2026-01-27 19:43:55,343] INFO - ingested: [보도자료] 한국은행, 금융기관 대출채권을 담보로 하는 긴급여신 지원체계 구축
[2026-01-27 19:43:55,560] INFO - ingested: 통화정책방향(2025.11.27)
[2026-01-27 19:43:55,789] INFO - ingested: 금융통화위원회 의사록(2025년 제19차)(2025.10.23)
[2026-01-27 19:43:56,054] INFO - ingested: 금융기관 대출행태서베이 결과(2025년 3/4분기 동향 및 2025년 4/4분기 전망)
[2026-01-27 19:43:56,270] INFO - ingested: 통화정책방향(2025.10.23)
[2026-01-27 19:43:56,559] INFO - ingested: 금융통화위원회 의사록(2025년도 제18차)(2025.9.25)
[2026-01-27 19:43:56,754] INFO - ingested: 금융통화위원회 의사록(2025년도 제17차)(2025.9.11)
[2026-01-27 19:43:56,997] INFO - ingested: [보도자료] 2025년 8월중 거주자외화예금 동향
[2026-01-27 19:43:57,209] INFO - ingested: 「금융안정 상황」(2025년 9월)
[2026-01-27 19:43:57,212] INFO - saved: F:\RAG\rag_eco\artifacts\runs\2026-01-27_194352\ingest_raw.json
