index,HomePlanet_entire,HomePlanet_died,HomePlanet_rate,index.1,CryoSleep_entire,CryoSleep_died,CryoSleep_rate,index.2,Cabin_entire,Cabin_died,Cabin_rate,index.3,Cabin_num_entire,Cabin_num_died,Cabin_num_rate,index.4,Cabin_port_entire,Cabin_port_died,Cabin_port_rate,index.5,Destination_entire,Destination_died,Destination_rate,index.6,Age_entire,Age_died,Age_rate,index.7,VIP_entire,VIP_died,VIP_rate,index.8,RoomService_entire,RoomService_died,RoomService_rate,index.9,FoodCourt_entire,FoodCourt_died,FoodCourt_rate,index.10,ShoppingMall_entire,ShoppingMall_died,ShoppingMall_rate,index.11,Spa_entire,Spa_died,Spa_rate,index,VRDeck_entire,VRDeck_died,VRDeck_rate
0.0,4714.0,2719.0,57.68,0.0,5568.0,3741.0,67.19,0.0,256.0,129.0,50.39,0,22,14,63.64,0.0,4403.0,2405.0,54.62,0.0,1815.0,709.0,39.06,0.0,178.0,34.0,19.1,0.0,8494.0,4192.0,49.35,0.0,5577.0,2045.0,36.67,0.0,5471.0,2232.0,40.8,0.0,5683.0,2260.0,39.77,0.0,5324.0,1921.0,36.08,0,5497,2044,37.18
1.0,2175.0,740.0,34.02,1.0,3125.0,574.0,18.37,1.0,779.0,207.0,26.57,1,15,5,33.33,1.0,4290.0,1910.0,44.52,1.0,796.0,395.0,49.62,1.0,67.0,18.0,26.87,1.0,199.0,123.0,61.81,1.0,117.0,77.0,65.81,1.0,116.0,90.0,77.59,1.0,153.0,116.0,75.82,1.0,146.0,94.0,64.38,1,139,92,66.19
2.0,1804.0,856.0,47.45,,,,,2.0,747.0,239.0,31.99,2,11,6,54.55,,,,,2.0,6082.0,3211.0,52.8,2.0,75.0,22.0,29.33,,,,,2.0,79.0,47.0,59.49,2.0,75.0,59.0,78.67,2.0,80.0,61.0,76.25,2.0,105.0,58.0,55.24,2,70,41,58.57
,,,,,,,,3.0,495.0,282.0,56.97,3,16,5,31.25,,,,,,,,,3.0,75.0,16.0,21.33,,,,,3.0,61.0,37.0,60.66,3.0,53.0,43.0,81.13,3.0,59.0,41.0,69.49,3.0,53.0,29.0,54.72,3,56,39,69.64
,,,,,,,,4.0,1025.0,630.0,61.46,4,7,5,71.43,,,,,,,,,4.0,71.0,18.0,25.35,,,,,4.0,47.0,38.0,80.85,4.0,53.0,42.0,79.25,4.0,45.0,36.0,80.0,4.0,46.0,29.0,63.04,4,47,28,59.57
,,,,,,,,5.0,2821.0,1583.0,56.11,5,13,6,46.15,,,,,,,,,5.0,34.0,14.0,41.18,,,,,5.0,28.0,16.0,57.14,5.0,33.0,27.0,81.82,5.0,38.0,25.0,65.79,5.0,53.0,25.0,47.17,5,51,31,60.78
,,,,,,,,6.0,2564.0,1240.0,48.36,6,12,8,66.67,,,,,,,,,6.0,40.0,17.0,42.5,,,,,6.0,24.0,16.0,66.67,6.0,31.0,23.0,74.19,6.0,34.0,27.0,79.41,6.0,33.0,19.0,57.58,6,32,16,50.0
,,,,,,,,7.0,6.0,5.0,83.33,7,9,3,33.33,,,,,,,,,7.0,53.0,21.0,39.62,,,,,7.0,17.0,13.0,76.47,7.0,27.0,21.0,77.78,7.0,36.0,26.0,72.22,7.0,34.0,19.0,55.88,7,29,18,62.07
,,,,,,,,,,,,8,13,7,53.85,,,,,,,,,8.0,50.0,21.0,42.0,,,,,8.0,24.0,7.0,29.17,8.0,20.0,14.0,70.0,8.0,28.0,23.0,82.14,8.0,28.0,18.0,64.29,8,30,17,56.67
,,,,,,,,,,,,9,16,4,25.0,,,,,,,,,9.0,44.0,20.0,45.45,,,,,9.0,25.0,17.0,68.0,9.0,28.0,22.0,78.57,9.0,28.0,19.0,67.86,9.0,28.0,22.0,78.57,9,25,14,56.0
